user_id,cc_id,num_cc,channel,trial_money,trial_nums,trial_price,teacher_id,teacher_type,is_weekend,num_days_reserve,student_evaluation,has_comment,trial_issue,if_converted
16559188,490.0,2.0,1662.0,0.0,1,0.0,1796,5,0,3.0,5.0,0,0,0
16559206,490.0,2.0,1662.0,0.0,1,0.0,1847,2,1,20.0,1.0,0,0,0
16559207,490.0,3.0,1662.0,0.0,1,0.0,1589,2,0,5.0,14.0,0,0,0
16559215,490.0,2.0,1662.0,0.0,1,0.0,1803,2,0,15.0,8.0,0,0,0
16559222,490.0,3.0,1662.0,0.0,1,0.0,725,5,1,3.0,2.7,0,0,0
16559223,490.0,2.0,1662.0,0.0,1,0.0,937,2,0,12.0,11.0,0,0,0
16559231,490.0,2.0,1662.0,0.0,1,0.0,1087,2,1,24.0,12.0,0,0,0
16559289,490.0,2.0,1662.0,0.0,1,0.0,937,2,0,9.0,14.0,0,0,0
16559296,490.0,2.0,1662.0,0.0,1,0.0,1790,5,1,19.0,12.0,0,0,0
16559306,490.0,2.0,1662.0,0.0,1,0.0,1804,2,0,11.0,10.0,0,0,0
16559313,490.0,2.0,1662.0,0.0,1,0.0,1087,2,1,38.0,3.83,0,0,0
16559315,490.0,2.0,1662.0,0.0,1,0.0,1803,2,0,3.0,12.0,0,0,0
16559322,490.0,2.0,1662.0,0.0,1,0.0,1750,2,0,16.0,16.0,0,0,0
16559324,490.0,2.0,1662.0,0.0,1,0.0,1785,2,1,5.0,15.0,0,0,0
16559331,490.0,2.0,1662.0,0.0,1,0.0,1888,2,0,7.0,11.0,0,0,0
16559340,490.0,2.0,1662.0,0.0,1,0.0,1419,5,0,2.0,6.0,0,0,0
16559349,490.0,2.0,1662.0,0.0,1,0.0,1813,2,1,4.0,3.6,0,0,0
16559351,490.0,2.0,1662.0,0.0,1,0.0,1819,2,1,13.0,12.0,0,0,0
16559377,490.0,2.0,1662.0,0.0,1,0.0,991,5,0,10.0,5.0,0,0,0
16559386,490.0,2.0,1662.0,0.0,1,0.0,1373,2,0,61.0,5.0,0,0,0
16559392,490.0,2.0,1662.0,0.0,1,0.0,1813,2,1,4.0,2.5,0,0,0
16559410,490.0,2.0,1662.0,0.0,1,0.0,858,5,1,2.0,13.0,0,0,0
16559412,490.0,2.0,1662.0,0.0,1,0.0,1803,2,0,7.0,11.0,0,0,0
16559498,490.0,3.0,1662.0,0.0,1,0.0,858,5,1,6.0,5.0,0,1,0
16559504,490.0,2.0,1662.0,0.0,1,0.0,1419,5,1,6.0,14.0,0,0,0
16559522,490.0,2.0,1662.0,0.0,1,0.0,1789,2,1,20.0,15.0,0,0,0
16559531,490.0,2.0,1662.0,0.0,1,0.0,1750,2,0,6.0,10.0,0,0,0
16559539,490.0,2.0,1662.0,0.0,1,0.0,1727,2,0,7.0,14.0,0,0,0
16559548,490.0,2.0,1662.0,0.0,1,0.0,1087,2,0,35.0,3.92,0,0,0
16559557,490.0,2.0,1662.0,0.0,1,0.0,1746,2,1,7.0,1.2,0,0,0
16559566,490.0,2.0,1662.0,0.0,1,0.0,946,2,0,8.0,2.52,0,0,0
16559616,490.0,2.0,1662.0,0.0,1,0.0,1575,2,0,98.0,15.0,0,0,0
16559623,490.0,2.0,1662.0,0.0,1,0.0,1727,2,0,6.0,13.0,0,0,0
16559672,490.0,2.0,1662.0,0.0,1,0.0,1750,2,0,2.0,6.0,0,0,0
16559733,490.0,2.0,1662.0,0.0,1,0.0,1652,2,1,7.0,6.0,0,0,0
16559820,490.0,2.0,1662.0,0.0,1,0.0,937,2,0,8.0,12.0,0,0,0
16561361,490.0,3.0,1662.0,0.0,1,0.0,800,2,0,1.0,3.67,0,0,0
16561599,490.0,3.0,1662.0,0.0,1,0.0,1797,5,1,3.0,13.0,0,0,0
16566198,490.0,2.0,1662.0,0.0,1,0.0,1510,2,1,8.0,15.0,0,0,0
16566361,490.0,1.0,1662.0,0.0,1,0.0,1848,2,1,18.0,14.0,0,0,0
16566458,490.0,2.0,1662.0,0.0,1,0.0,1925,2,1,17.0,14.0,0,0,0
16566514,490.0,1.0,1662.0,0.0,1,0.0,1845,2,1,22.0,12.0,0,0,0
16566531,490.0,2.0,1662.0,0.0,1,0.0,1828,2,1,29.0,7.0,0,0,0
16566649,490.0,1.0,1662.0,0.0,1,0.0,1918,2,0,1.0,13.0,0,0,0
16566958,490.0,0.0,1662.0,0.0,1,0.0,1857,2,0,7.0,7.0,0,0,0
16567443,490.0,0.0,1662.0,0.0,1,0.0,1857,2,1,3.0,13.0,0,0,0
16567451,490.0,0.0,1662.0,0.0,1,0.0,1510,2,1,3.0,13.0,0,0,0
16567461,490.0,0.0,1662.0,0.0,1,0.0,1510,2,0,31.0,15.0,0,0,0
16568236,490.0,0.0,1662.0,0.0,1,0.0,1488,2,0,8.0,18.0,0,0,0
16569503,490.0,0.0,1662.0,0.0,1,0.0,1750,2,0,1.0,11.0,0,0,0
16569704,490.0,0.0,1662.0,0.0,1,0.0,1926,2,0,9.0,8.0,0,0,0
16569825,490.0,0.0,1662.0,0.0,1,0.0,1967,2,0,2.0,12.0,0,0,0
16570105,490.0,0.0,1662.0,0.0,1,0.0,1839,2,1,23.0,5.0,0,0,0
16574675,490.0,0.0,1662.0,0.0,1,0.0,1902,10,0,2.0,2.9,0,0,0
16574688,490.0,0.0,1662.0,0.0,1,0.0,1373,2,0,12.0,8.0,0,0,0
16574701,490.0,0.0,1662.0,0.0,1,0.0,1975,2,0,11.0,11.0,0,0,0
16577404,490.0,0.0,1662.0,0.0,1,0.0,1510,2,0,5.0,7.0,0,0,0
16578221,490.0,0.0,1662.0,0.0,1,0.0,1939,2,1,17.0,11.0,0,0,0
16578643,490.0,1.0,99.0,9.9,1,9.9,1244,10,1,5.0,0.34,0,0,0
146617,508.0,5.0,97.0,0.0,1,0.0,239,2,1,7.0,2.3,0,0,0
16558675,601.0,3.0,1662.0,0.0,1,0.0,1575,2,1,48.0,9.0,0,0,0
16558971,638.0,2.0,1662.0,0.0,1,0.0,1042,2,1,10.0,7.0,0,0,0
16559007,638.0,3.0,1662.0,0.0,1,0.0,1797,5,0,7.0,12.0,0,0,0
16559014,638.0,3.0,1662.0,0.0,1,0.0,404,5,0,14.0,18.0,0,0,0
16559023,638.0,2.0,1662.0,0.0,1,0.0,1741,5,1,29.0,4.14,0,0,0
16559032,638.0,3.0,1662.0,0.0,1,0.0,1803,2,0,35.0,9.0,0,0,0
16559041,638.0,2.0,1662.0,0.0,1,0.0,858,5,0,5.0,20.0,0,0,0
